,year,team_id,team,conference,epa_rushing,epa_passing,epa_total,epa_allowed_rushing,epa_allowed_passing,epa_allowed_total,success_rate_passing_downs,success_rate_standard_downs,success_rate_total,success_rate_allowed_passing_downs,success_rate_allowed_standard_downs,success_rate_allowed_total,rushing_highlight_yards,rushing_open_field_yards,rushing_second_level_yards,rushing_line_yards,rushing_allowed_highlight_yards,rushing_allowed_open_field_yards,rushing_allowed_second_level_yards,rushing_allowed_line_yards,explosiveness,explosiveness_allowed,division,rating_srs,ranking_srs,elo,rating_sp,ranking_sp,fpi,resume_ranks,efficiencies,game_control,remaining_strength_of_schedule,strength_of_schedule,average_win_probability,fpi_resume,strength_of_record,special_teams,defense,offense,overall
Sam Houston,2025,2534,Sam Houston,CUSA,0.09299300281152209,0.1523431410995587,0.1021154604188518,0.0824859556107255,0.36887918227518085,0.22969340322490947,0.2738296418708715,0.4531575353222367,0.3636789869030987,0.3296203534325061,0.4911018940769627,0.4580387688597437,2.027400633936934,1.2990193184793868,1.0649837917509595,2.7598658582190043,1.8775809074751204,1.159614522521533,1.0675188512738973,2.9901077742541786,1.0097912904833235,0.9361600900519897,,-21.7,163,1243,-23.6,133,-17.829,game_control=133 remaining_strength_of_schedule=123 strength_of_schedule=26 average_win_probability=136 fpi=130 strength_of_record=133,special_teams=50.747 defense=26.095 offense=14.009 overall=15.217,133,123,26,136,130,133,50.747,26.095,14.009,15.217
Delaware,2025,48,Delaware,CUSA,0.1636072054449699,0.2541301332491548,0.2179712993763007,0.11876181836280697,0.28775126244529237,0.20802040531692234,0.30650450597304135,0.48357973189839126,0.41473849240976524,0.3211789869285709,0.472717698465734,0.4379489077539697,2.253019737087341,1.4976852889821306,1.0936922724796299,3.0089210052573563,2.0480338683273986,1.3310643667744537,1.0483471051934714,2.8409189639752643,1.037125311664182,1.0330535278055288,,-4.5,88,1501,-7,89,-9.497,game_control=87 remaining_strength_of_schedule=119 strength_of_schedule=114 average_win_probability=74 fpi=100 strength_of_record=59,special_teams=50.489 defense=26.634 offense=54.514 overall=37.808,87,119,114,74,100,59,50.489,26.634,54.514,37.808
Jacksonville State,2025,55,Jacksonville State,CUSA,0.16774428767348615,0.1568520907303474,0.16561894305796165,0.1317656785609073,0.34692170963564123,0.23762134487356773,0.3059937511899763,0.4660685197519416,0.4069607478416889,0.32073197752868216,0.5080713847342867,0.4676953077423866,2.1677273142811155,1.3928994382448607,1.1547779109362006,3.006248848357708,2.069883300211433,1.3188501070985454,1.0998915248008245,2.9335524816493286,1.0988018144112965,0.9948891406279065,,-11.6,115,1529,-9.8,104,-8.549,game_control=117 remaining_strength_of_schedule=130 strength_of_schedule=115 average_win_probability=96 fpi=97 strength_of_record=110,special_teams=40.07 defense=46.333 offense=39.975 overall=39.489,117,130,115,96,97,110,40.07,46.333,39.975,39.489
Missouri State,2025,2623,Missouri State,CUSA,0.06512234249630486,0.21935612084958195,0.12736990688117167,0.18256077538955073,0.29826198913301455,0.25856337684059044,0.2965333950170987,0.43846408313351604,0.3801026141898858,0.31276125040455516,0.5086033559739034,0.45855084264027474,1.9150258156296618,1.1717160923140357,1.1267984495180992,2.6529467221795353,2.2467441339432828,1.477731583703742,1.117524780151022,3.046371685435607,0.9790107338744221,1.0449710713435179,,-10.7,108,1335,-13.4,118,-13.778,game_control=100 remaining_strength_of_schedule=134 strength_of_schedule=44 average_win_probability=102 fpi=122 strength_of_record=101,special_teams=41.403 defense=38.867 offense=37.388 overall=33.827,100,134,44,102,122,101,41.403,38.867,37.388,33.827
Akron,2025,2006,Akron,MAC,0.003125158368091366,0.1588306437150025,0.032027964153534316,0.13108808035259834,0.3598321555196822,0.26058891235645565,0.24686612573008773,0.43123255981362124,0.3349957838168865,0.3278878860334053,0.5136006205546075,0.48868514112703926,1.6923157177777222,1.008542025129134,1.002262567508379,2.5692437780056703,2.0057459419595176,1.2369017199835295,1.1530843561235906,3.1617975642490173,0.8783680952357661,0.9833770456956362,,-12.7,121,995,-22.1,130,-20.696,game_control=125 remaining_strength_of_schedule=136 strength_of_schedule=72 average_win_probability=122 fpi=134 strength_of_record=130,special_teams=44.156 defense=46.844 offense=10.727 overall=20.793,125,136,72,122,134,130,44.156,46.844,10.727,20.793
Air Force,2025,2005,Air Force,MWC,0.1544497784817817,0.3652156026575169,0.2631045925897253,0.1884677989463313,0.47525866876440426,0.37119391652627254,0.34224673949237105,0.488010090562822,0.46089320870748457,0.3738231422280027,0.49789193228454015,0.4918426077361047,1.990517091100231,1.2908803483759088,1.0015570338637483,2.9304140458346972,2.241183369452771,1.4716340443547014,1.1410433714937411,2.9657903926463143,0.9920444406992004,1.1157522892563965,,-14.8,132,1351,-7,89,-11.711,game_control=126 remaining_strength_of_schedule=91 strength_of_schedule=122 average_win_probability=108 fpi=114 strength_of_record=126,special_teams=50.497 defense=6.443 offense=70.027 overall=25.723,126,91,122,108,114,126,50.497,6.443,70.027,25.723
App State,2025,2026,App State,SBC,0.1270550357454612,0.09601744685786281,0.09223850604362875,0.0635745313631309,0.33260486550423807,0.18623096584935658,0.2978241454779619,0.48472112552366947,0.4196245847696412,0.31289995533498993,0.45707934863987537,0.4181077656802917,1.9331857003231738,1.2048052365039454,1.0640921284464828,2.9978123049487793,1.7555234415640173,1.0774770221934458,0.9883373210650815,2.702430683590831,0.910899642104485,0.962080233764552,East,-20.5,160,1324,-11.7,110,-11.703,game_control=110 remaining_strength_of_schedule=99 strength_of_schedule=112 average_win_probability=99 fpi=113 strength_of_record=102,special_teams=37.192 defense=47.928 offense=21.177 overall=26.796,110,99,112,99,113,102,37.192,47.928,21.177,26.796
Arizona,2025,12,Arizona,B12,0.16303600461625628,0.14191478386094977,0.15558391979730332,0.09092660106886298,0.20282119468557247,0.13519458759813258,0.2753223105317681,0.4927668932905634,0.4222091789895621,0.31041785136030514,0.4387777224982886,0.3954601303084636,2.209554790054505,1.439424885415348,1.1382208521028871,3.052201036625192,1.832654319815136,1.155260288584542,0.9801092580599887,2.6173718663985555,1.0480153368522118,0.9948887879160163,,4.6,53,1422,7.9,49,4.592,game_control=39 remaining_strength_of_schedule=51 strength_of_schedule=78 average_win_probability=37 fpi=52 strength_of_record=42,special_teams=16.701 defense=78.871 offense=61.786 overall=68.189,39,51,78,37,52,42,16.701,78.871,61.786,68.189
Arkansas State,2025,2032,Arkansas State,SBC,0.05345034239749325,0.12434076324666893,0.06714283446286513,0.1666016859268681,0.3267810940407548,0.2502317798272854,0.27555575979068525,0.44159243846090734,0.3675291327541746,0.345418232845284,0.5320243308163237,0.49965565184280647,1.7199212578815941,1.0342893488960205,1.0015962295202017,2.829811222046458,2.312028203607312,1.5315397634142756,1.1383737156144407,2.9423616342985848,0.9298296719567577,1.0254532175070112,West,-15.3,135,1213,-15.5,125,-12.889,game_control=127 remaining_strength_of_schedule=116 strength_of_schedule=95 average_win_probability=120 fpi=119 strength_of_record=128,special_teams=71.003 defense=22.379 offense=29.756 overall=24.343,127,116,95,120,119,128,71.003,22.379,29.756,24.343
Auburn,2025,2,Auburn,SEC,0.17548786533773103,0.22146694811148016,0.20213659085258162,-0.0074238260725044275,0.26066074657938054,0.09559019359018268,0.27264810194592276,0.5271604993351948,0.47118042675998956,0.2606516993510151,0.4305227299040905,0.3460371263688449,2.0612692526046197,1.305183474205678,1.1242589654253465,3.007926471993088,1.6755466074961944,1.0504827924179745,0.8864590009298015,2.272311855142412,0.9960485381014806,0.9452516547946019,,12.1,27,1676,14.3,30,12.75,game_control=26 remaining_strength_of_schedule=17 strength_of_schedule=8 average_win_probability=65 fpi=23 strength_of_record=33,special_teams=47.545 defense=84.737 offense=65.83 overall=80.831,26,17,8,65,23,33,47.545,84.737,65.83,80.831
Ball State,2025,2050,Ball State,MAC,0.08216794529231158,0.21987906070491237,0.1309364240058264,0.14034232591596635,0.32210234265519894,0.23828805167472783,0.27323219712269997,0.4450502773042114,0.36867212305064156,0.3252040533223887,0.471698231786509,0.42857861540906594,1.8533636461565581,1.1612894493930919,1.0227062169594805,2.741572849626664,2.190798545058881,1.4573830034643984,1.061729121424488,2.7618322033189258,0.9735160136982183,1.0613234162834189,,-15.7,137,1095,-21.3,129,-16.573,game_control=124 remaining_strength_of_schedule=110 strength_of_schedule=57 average_win_probability=132 fpi=129 strength_of_record=109,special_teams=18.867 defense=19.281 offense=46.03 overall=20.523,124,110,57,132,129,109,18.867,19.281,46.03,20.523
Baylor,2025,239,Baylor,B12,0.1390762377092108,0.3441364437965753,0.26624983849712647,0.09991401680235744,0.31554869074413666,0.18703404228857187,0.35687631398253955,0.48633799763083063,0.4699796634809035,0.27285716394421977,0.5052101001583951,0.4377971604097732,2.017254040803186,1.2867673623654525,1.0737951660869245,3.048756266608744,1.8483547163912757,1.1294880828622094,1.0644462738273137,2.9792362824777054,1.0068207525016777,0.9250276360748827,,-1.4,73,1590,6.7,55,7.17,game_control=74 remaining_strength_of_schedule=52 strength_of_schedule=60 average_win_probability=83 fpi=41 strength_of_record=54,special_teams=48.046 defense=42.865 offense=73.374 overall=61.113,74,52,60,83,41,54,48.046,42.865,73.374,61.113
Boise State,2025,68,Boise State,MWC,0.09217023897451802,0.27403361784395747,0.17215797483002646,0.1531687528667993,0.19444804085218756,0.1706650440192165,0.31788675844824327,0.4734311813138686,0.4163787442155735,0.3148511121692771,0.4147101869545784,0.36424691649366486,2.069244826910807,1.3314007125618512,1.0850107430698355,2.8586051986476506,2.0535602753834965,1.352574500013589,1.0184714135203674,2.8829838958564773,0.9523241649690123,1.060192947818351,,0.3,66,1653,7.4,53,4.663,game_control=49 remaining_strength_of_schedule=71 strength_of_schedule=110 average_win_probability=35 fpi=51 strength_of_record=62,special_teams=32.659 defense=54.984 offense=68.839 overall=62.263,49,71,110,35,51,62,32.659,54.984,68.839,62.263
Buffalo,2025,2084,Buffalo,MAC,0.07324071015221123,0.2196367233334951,0.12613731112941504,0.11111413947584155,0.27555738658601114,0.19234042878175306,0.26592971115795166,0.4389321702425878,0.3540998892167041,0.30131694961740035,0.4875088713319147,0.44112193701986613,1.789048331604424,1.1555657565944928,0.8897078666235948,2.6666590874328975,1.7223922581210924,1.0141722365021844,1.0431952450468227,3.136447364257792,1.0117213397930762,0.936946666882877,,-12,117,1382,-8.8,97,-12.166,game_control=119 remaining_strength_of_schedule=127 strength_of_schedule=127 average_win_probability=78 fpi=116 strength_of_record=120,special_teams=51.391 defense=48.436 offense=23.553 overall=33.116,119,127,127,78,116,120,51.391,48.436,23.553,33.116
BYU,2025,252,BYU,B12,0.1437846026908146,0.2596519998120613,0.2037633130445843,0.0864403851377794,0.12573077400656002,0.08737060543920323,0.29733505359009266,0.49758677089000075,0.4385377481215372,0.26475637775216243,0.5076601656314725,0.4305243384833249,2.043882300896789,1.2824747816584987,1.133263254383831,2.959399755565599,1.8285192281138645,1.1252058280751736,1.0264260454004157,2.8573997724419646,1.007977155054433,0.8837776895734173,,21.5,5,1702,15.9,21,15.496,game_control=21 remaining_strength_of_schedule=37 strength_of_schedule=92 average_win_probability=21 fpi=18 strength_of_record=12,special_teams=69.968 defense=91.757 offense=67.967 overall=89.045,21,37,92,21,18,12,69.968,91.757,67.967,89.045
California,2025,25,California,ACC,0.044941816437475066,0.21575401445491824,0.11526058331758471,0.11497335823017107,0.20857845483447565,0.15862273629059156,0.3356352147801152,0.45192596024402926,0.4182906199761963,0.27437107135653166,0.47399798446408187,0.40317949079237514,1.7983877406104627,1.1369701321772638,0.9461373805312883,2.7300852463916607,1.9194559338287698,1.2033080840949752,1.0543122770369204,2.979519767912735,0.955055643553986,0.9749988363809027,,-2.3,78,1455,-1.2,74,-1.456,game_control=79 remaining_strength_of_schedule=67 strength_of_schedule=107 average_win_probability=69 fpi=72 strength_of_record=44,special_teams=60.645 defense=66.435 offense=33.897 overall=50.82,79,67,107,69,72,44,60.645,66.435,33.897,50.82
Central Michigan,2025,2117,Central Michigan,MAC,0.07266292447637938,0.26239711941446087,0.13044204004554716,0.12301362626769338,0.3056850145582551,0.2035665809252049,0.2557084519337589,0.4676461321159558,0.37776332421131914,0.3077594609936045,0.5093779244083327,0.4623166440290115,1.9089417131743607,1.2225735187718028,0.9882197826587504,2.7944879670586125,1.8324095011777222,1.0780901905523157,1.1529750990253596,3.0206935550642573,0.9687487873471827,0.9261260216245405,,-14.1,125,1124,-15.7,126,-15.455,game_control=82 remaining_strength_of_schedule=124 strength_of_schedule=54 average_win_probability=92 fpi=125 strength_of_record=70,special_teams=59.382 defense=38.465 offense=35.564 overall=35.733,82,124,54,92,125,70,59.382,38.465,35.564,35.733
Charlotte,2025,2429,Charlotte,AAC,0.038714896055738274,0.19586563874619103,0.08716320945106386,0.11184550884736377,0.33518189612838856,0.22462044755136223,0.2841886939120487,0.4172325006783817,0.3413023129641167,0.31440914351860855,0.5178539007925187,0.48249793990466827,1.7487843752300634,1.0926688268421385,0.9476652585071275,2.3719265688754456,2.05979626413863,1.2930602631453874,1.1471570810067162,2.9666482301158155,0.9519668303441844,0.9395903495745929,,-31.5,204,1183,-18.1,127,-19.636,game_control=135 remaining_strength_of_schedule=63 strength_of_schedule=135 average_win_probability=125 fpi=133 strength_of_record=129,special_teams=50.936 defense=15.167 offense=15.261 overall=10.27,135,63,135,125,133,129,50.936,15.167,15.261,10.27
Cincinnati,2025,2132,Cincinnati,B12,0.16434726262031238,0.3359761340212873,0.26004411442161157,0.08691050440337286,0.3383645226694776,0.2137494989074063,0.3309339959907016,0.5170434678741741,0.4829097110765218,0.3455281870423841,0.48370847363790315,0.45346755731171173,1.8980753891433768,1.1324604880747238,1.1557923254198996,3.185493728341612,1.8729389109745729,1.170307045641561,1.0365741546370113,2.9351904322026434,0.9573181284786366,0.9368357219140848,,9.6,38,1520,9.3,39,7.378,game_control=34 remaining_strength_of_schedule=49 strength_of_schedule=39 average_win_probability=39 fpi=39 strength_of_record=29,special_teams=70.44 defense=53.326 offense=86.819 overall=80.153,34,49,39,39,39,29,70.44,53.326,86.819,80.153
Colorado,2025,38,Colorado,B12,0.12109714990042085,0.27645867585315415,0.20115259356738802,0.11177776326946048,0.29452369442776244,0.1888088693450195,0.33946078997807605,0.4420516032726915,0.4074357076867021,0.3170962479059741,0.5005187140340133,0.4602860723898083,2.09918202996003,1.342770658113688,1.1353567222057699,2.9494763707254736,2.2341095538110345,1.4650417212793274,1.1347320904799811,3.0152772552366365,1.0048846997592409,0.9965937267199321,,7.9,41,1618,4.8,59,3.455,game_control=54 remaining_strength_of_schedule=46 strength_of_schedule=64 average_win_probability=54 fpi=56 strength_of_record=92,special_teams=47.647 defense=40.82 offense=67.249 overall=53.247,54,46,64,54,56,92,47.647,40.82,67.249,53.247
Colorado State,2025,36,Colorado State,MWC,0.09161961343014331,0.21193719449965573,0.13555407799983535,0.10882820109153572,0.26807065310748285,0.17450082043652387,0.27591468694211774,0.47763117488900053,0.3951416188609101,0.2908445932631008,0.5018795322172356,0.4408114673479672,1.9205511152662182,1.1761438259454071,1.1162244228427531,2.94117371556659,2.092756049487993,1.3728501184178585,1.037959014651929,2.957534493406469,0.9398737664068659,0.9326873367082288,,-12.2,119,1320,-13.1,117,-10.604,game_control=130 remaining_strength_of_schedule=90 strength_of_schedule=88 average_win_probability=130 fpi=108 strength_of_record=123,special_teams=31.918 defense=39.903 offense=18.565 overall=20.584,130,90,88,130,108,123,31.918,39.903,18.565,20.584
Duke,2025,150,Duke,ACC,0.10270134080517092,0.35154332320524856,0.23457508537340538,0.08677571663000112,0.3000783312111292,0.18974698469848114,0.3151393843612489,0.5053217811459819,0.45625462583030146,0.3147569072830821,0.4613572702811738,0.4039713138611792,2.1596281100164383,1.3966336001990405,1.1282307276983328,2.9545428353088745,2.072797675890959,1.3591779934860297,1.037882803209,2.5424447514726163,0.9568830850854368,1.037568964496845,,6.1,47,1598,7.5,50,6.992,game_control=76 remaining_strength_of_schedule=70 strength_of_schedule=79 average_win_probability=79 fpi=42 strength_of_record=65,special_teams=36.193 defense=42.517 offense=76.531 overall=60.219,76,70,79,79,42,65,36.193,42.517,76.531,60.219
East Carolina,2025,151,East Carolina,AAC,0.04970004503713161,0.29103031373870064,0.15496907872060026,0.08083225980639863,0.21731386883819293,0.13009751770875938,0.3214494122422057,0.46373148512342977,0.42597340867360883,0.2836372623483788,0.4603277747997741,0.3810718477167444,1.6308208513327767,0.9880581341400956,0.9196564314153528,2.7196287381474287,1.948145160488739,1.2189272691147073,1.1004810899451185,2.6056611212685254,0.9034753128138495,1.0316769373125894,,10.2,37,1548,3.7,62,3.961,game_control=68 remaining_strength_of_schedule=84 strength_of_schedule=89 average_win_probability=57 fpi=55 strength_of_record=73,special_teams=52.004 defense=73.274 offense=48.036 overall=62.965,68,84,89,57,55,73,52.004,73.274,48.036,62.965
Eastern Michigan,2025,2199,Eastern Michigan,MAC,0.1410549178247349,0.24174998958709853,0.19511729061710834,0.20364634083056363,0.37112959065341344,0.30991431255817903,0.2987099009054999,0.5015206035173199,0.44058130307555826,0.3361794569664276,0.5233333561202611,0.4985760856202759,1.8957459764167877,1.1375590381029157,1.1400246909220635,3.101611315762155,2.349192103754921,1.531870408814854,1.2230216086720598,3.2769426831338597,0.9499534667925091,1.0088467681535354,,-25.4,177,1193,-22.5,132,-16.111,game_control=134 remaining_strength_of_schedule=117 strength_of_schedule=109 average_win_probability=133 fpi=127 strength_of_record=132,special_teams=73.442 defense=8.846 offense=32.734 overall=15.731,134,117,109,133,127,132,73.442,8.846,32.734,15.731
Florida,2025,57,Florida,SEC,0.10888449324628421,0.1755664952417881,0.1259654113864912,0.09193668828879784,0.2175047482055635,0.14119020032118407,0.27515960060230404,0.4872679876241617,0.42988596711954363,0.2840218860423746,0.46396559846017527,0.3952073691314598,1.786099162475323,1.0857353175727213,1.0186455205030358,3.028269174029321,1.8277960194540162,1.1467332623576618,0.9867033293168015,2.8527551960012585,0.9046792089279767,0.959599910993033,,11.8,29,1629,8.2,46,9.209,game_control=47 remaining_strength_of_schedule=5 strength_of_schedule=3 average_win_probability=93 fpi=33 strength_of_record=108,special_teams=41.604 defense=84.468 offense=32.074 overall=59.892,47,5,3,93,33,108,41.604,84.468,32.074,59.892
Florida Atlantic,2025,2226,Florida Atlantic,AAC,0.09665596003035531,0.20074679061167117,0.1279238417373762,0.11563230487857183,0.25915434637358586,0.17453136773711714,0.278559564572969,0.4513003616711627,0.3811716830635899,0.2758389525647027,0.4951195646657793,0.4325459139436636,1.864900928520448,1.1617003124388603,1.0336539262075273,2.8080044571365503,2.2168234377998717,1.4925161149145085,1.0415103445658815,2.6631085239244237,1.0311544952963179,1.015448491809676,,-18.4,149,1201,-10.7,107,-11.452,game_control=111 remaining_strength_of_schedule=78 strength_of_schedule=97 average_win_probability=106 fpi=111 strength_of_record=121,special_teams=49.675 defense=35.002 offense=31.024 overall=28.904,111,78,97,106,111,121,49.675,35.002,31.024,28.904
South Alabama,2025,6,South Alabama,SBC,0.13336357031734145,0.21673521161363585,0.17348255078460745,0.164543036423066,0.2705277815901387,0.22363138673953253,0.2965318758439496,0.4609266617576481,0.41171025472574757,0.31256374672258397,0.49053601741470787,0.4379306474989598,1.883858446426844,1.1530147466068967,1.084463350716032,3.014255210872856,1.9596209815872,1.1823250771968319,1.177798909701285,3.129167684481621,1.0191366764546919,0.9818572674208609,West,-10.6,107,1430,-12.4,115,-8.975,game_control=121 remaining_strength_of_schedule=112 strength_of_schedule=67 average_win_probability=116 fpi=99 strength_of_record=127,special_teams=34.879 defense=27.669 offense=39.927 overall=27.534,121,112,67,116,99,127,34.879,27.669,39.927,27.534
Bowling Green,2025,189,Bowling Green,MAC,0.12410422236892221,0.13267400132416957,0.12024187500462662,0.10355924054248085,0.3213841445796886,0.20962032241197615,0.2840509550345543,0.47254850835078843,0.402632415050707,0.31211494021070557,0.49524490600772253,0.45252284094079226,2.0771382015012083,1.3285565842478617,1.0998077392673666,3.002930632404892,2.0311597534992574,1.2837082586130752,1.1067105036312979,2.876305244406939,1.0028223306298467,1.0165278425374813,,-8.4,98,1411,-13.9,119,-7.913,game_control=104 remaining_strength_of_schedule=131 strength_of_schedule=62 average_win_probability=109 fpi=94 strength_of_record=99,special_teams=67.414 defense=51.149 offense=16.91 overall=30.4,104,131,62,109,94,99,67.414,51.149,16.91,30.4
UL Monroe,2025,2433,UL Monroe,SBC,0.08699848717922468,0.2954886064690881,0.17125706790868436,0.09103938524813152,0.3370357763962474,0.22242648680152272,0.31469712531524097,0.43542035828242037,0.3831168297324012,0.3164783744941967,0.46322862263364273,0.42145859890828236,2.129189111517093,1.3983336771021804,1.0785583689619898,2.769069387821101,1.8002266313255424,1.1410981193097445,0.926415358723677,2.8589455561803376,1.05095958330083,0.9730657318416449,West,-10.7,108,1168,-12.3,113,-13.12,game_control=62 remaining_strength_of_schedule=93 strength_of_schedule=36 average_win_probability=67 fpi=120 strength_of_record=52,special_teams=24.573 defense=49.482 offense=40.927 overall=39.15,62,93,36,67,120,52,24.573,49.482,40.927,39.15
Georgia,2025,61,Georgia,SEC,0.14237529589605313,0.29035735207038593,0.21629030427722074,0.06122233894660329,0.3075355864608017,0.16593102962734696,0.2856491351509985,0.504645021159838,0.4515513714870963,0.2988133111337099,0.4416918900315515,0.37517804948626643,2.019477874197434,1.2720120592534443,1.106742378698589,3.002480374963401,1.6900526977221888,1.026952035245635,0.9620454049342548,2.82239735513055,0.9859981202110595,0.93939635711045,,15.6,19,2033,19.7,16,20.81,game_control=28 remaining_strength_of_schedule=26 strength_of_schedule=5 average_win_probability=51 fpi=7 strength_of_record=15,special_teams=58.618 defense=73.42 offense=78.478 overall=82.31,28,26,5,51,7,15,58.618,73.42,78.478,82.31
Hawai'i,2025,62,Hawai'i,MWC,0.0386571719534584,0.16606411466968118,0.08834934586120503,0.116569181722821,0.2740812382802956,0.1809616460992289,0.2967454256709204,0.44863320313757177,0.38507155846342683,0.2990572724438028,0.4914871322200571,0.43685035554212454,1.7512514651205855,1.0532201790146156,1.0329888209142906,2.7527810880096264,2.1057543598873494,1.356010390587742,1.1014901666254584,3.147675517877757,0.9311144307614131,0.9930565432678692,,-10,102,1280,-8.4,93,-9.972,game_control=91 remaining_strength_of_schedule=96 strength_of_schedule=111 average_win_probability=58 fpi=101 strength_of_record=78,special_teams=69.236 defense=53.93 offense=24.705 overall=37.522,91,96,111,58,101,78,69.236,53.93,24.705,37.522
Iowa,2025,2294,Iowa,B1G,0.10181935411883002,0.23324133758749693,0.1555719104857448,0.06698978344277592,0.2247460552775721,0.12547567523908765,0.26641726650084147,0.4939794145474306,0.420339425029794,0.24759501864650912,0.48770610801636327,0.3947877473492126,1.6781309579349482,0.9753090403359759,1.0490986421223534,3.105035685030145,1.6419193541755626,0.9872816569070533,0.9346341698819636,2.7374986509226136,0.8966684316917151,0.9234165235623232,,7.4,43,1743,12.1,34,9.485,game_control=45 remaining_strength_of_schedule=16 strength_of_schedule=24 average_win_probability=64 fpi=32 strength_of_record=47,special_teams=71.112 defense=73.75 offense=51.844 overall=70.087,45,16,24,64,32,47,71.112,73.75,51.844,70.087
Iowa State,2025,66,Iowa State,B12,0.1034009468090597,0.28694310667539497,0.18868671346404106,0.08316046266117103,0.21237557007086955,0.13509190992875597,0.3115122409423287,0.48413698343676603,0.43734411804537876,0.2954026194340947,0.4804435231164609,0.432719633313388,1.6620107786081197,0.9949458416057897,0.9786223424301759,2.84418884137189,1.7496537779020807,1.0486222866526842,1.0289041821706029,2.8710261969733066,0.9383908486124348,0.897511462034426,,10.5,36,1655,15,26,10.22,game_control=30 remaining_strength_of_schedule=44 strength_of_schedule=94 average_win_probability=18 fpi=28 strength_of_record=10,special_teams=61.335 defense=66.68 offense=70.336 overall=74.353,30,44,94,18,28,10,61.335,66.68,70.336,74.353
James Madison,2025,256,James Madison,SBC,0.12683250803105384,0.205830928740293,0.15736227492405583,0.08995299773618101,0.16243525995312957,0.10608392474762221,0.31342778076873,0.46741316009447015,0.4121914092103984,0.2688957030314346,0.40977203088915104,0.3292318450935363,1.8260188191727962,1.0893476391826777,1.1031026638341503,2.925719914147516,1.8752419710270205,1.1952523151000576,0.9712791959615934,2.7131745787106745,0.9801220175678156,1.017405608193281,East,2.8,55,1669,7.5,50,2.375,game_control=38 remaining_strength_of_schedule=104 strength_of_schedule=104 average_win_probability=32 fpi=61 strength_of_record=56,special_teams=36.809 defense=80.121 offense=54.609 overall=68.212,38,104,104,32,61,56,36.809,80.121,54.609,68.212
Kansas,2025,2305,Kansas,B12,0.11255966306864038,0.37587335700005836,0.23869818223103254,0.08181491170840834,0.3330165604473898,0.19795078556656084,0.31889815858638826,0.5002399898347021,0.4632176480909148,0.3067671285116029,0.4829464399392881,0.4184449831814311,2.1359469204167945,1.3437633649140883,1.1948164876144785,3.1510023575878634,2.0386078258094886,1.3222568964759431,1.0248827953082933,2.8934441340214687,0.9608940153291586,0.9175421372460855,,8.1,40,1664,12.3,33,9.671,game_control=25 remaining_strength_of_schedule=43 strength_of_schedule=58 average_win_probability=22 fpi=31 strength_of_record=66,special_teams=65.335 defense=55.483 offense=78.155 overall=72.661,25,43,58,22,31,66,65.335,55.483,78.155,72.661
Kent State,2025,2309,Kent State,MAC,0.0846100810537824,0.19152623467257207,0.12271250665094763,0.17888819602359451,0.3262267665586167,0.2679500406759826,0.26855872356794946,0.43042761502763466,0.35904507826269444,0.3631990261679834,0.5165963460896461,0.502544627271389,1.709535462895121,1.0467936654977414,0.9645592041063774,2.635858733903766,2.3362226892410334,1.5406355927492386,1.18946255637807,3.1751427316588035,0.9902068789396817,1.035776479223992,,-16.4,142,859,-24,134,-25.091,game_control=96 remaining_strength_of_schedule=74 strength_of_schedule=14 average_win_probability=119 fpi=136 strength_of_record=117,special_teams=42.748 defense=11.225 offense=16.394 overall=8.307,96,74,14,119,136,117,42.748,11.225,16.394,8.307
Louisiana,2025,309,Louisiana,SBC,0.15247919990508063,0.1390207070625474,0.13517235803762578,0.16663312187929535,0.2275656406075507,0.20017277506989875,0.2733612428949456,0.44202232582831724,0.35752753632141443,0.32461517478389146,0.5094227492736886,0.47824197064223073,2.205683166204286,1.4531057944570478,1.111178853914742,2.964033107802917,1.9753791003035845,1.2057629619153785,1.1488354539977925,3.183185441488177,1.035088164604546,0.9671062903070722,West,-16.9,143,1371,-11.2,109,-10.947,game_control=128 remaining_strength_of_schedule=100 strength_of_schedule=85 average_win_probability=117 fpi=109 strength_of_record=112,special_teams=32.401 defense=36.192 offense=19.273 overall=19.704,128,100,85,117,109,112,32.401,36.192,19.273,19.704
Louisiana Tech,2025,2348,Louisiana Tech,CUSA,0.07695867709168074,0.2594955147771423,0.14614490770963823,0.045549112681633544,0.14667941232652665,0.0764589256379791,0.2759599881148651,0.47135788428462244,0.4007071547245013,0.3014940477287741,0.4220232035687661,0.37623885977663873,1.7486068066163154,1.0575779258702085,1.0165380102251182,2.721770535807166,1.9241769945229084,1.216209009554823,1.0573774898914168,2.79450722720148,0.9480824070104933,1.018674331052991,,6.9,45,1490,-0.1,71,-3.549,game_control=42 remaining_strength_of_schedule=126 strength_of_schedule=91 average_win_probability=34 fpi=79 strength_of_record=48,special_teams=74.441 defense=83.891 offense=29.165 overall=67.719,42,126,91,34,79,48,74.441,83.891,29.165,67.719
